晚翠琴 (月深光清) , LH_piano_066, RH_blade_001,
朔霜 (悲白) , LH_BDdagger_007, RH_BDknife_007,
深红断罪舞者 , D020008, D020007,
奉信 (洞箍) , RH_knife_037, RH_knife_037,
澄映弩 (与归) , RH_bow_079, RH_bow_079,
翠烟弯刀 (容若雕空) , RH_knife_073, RH_knife_073,
古槎 (若言有声) , LH_piano_002, RH_blade_002,
古朴的巨鲨棍 (明珠香匣) , Lh_stick_003, RH_flagon_016,
无明棍 (开国戒持) (开国戒持·一) (开国戒持·四) , RH_wand_111b, RH_wand_111b,
寻踪觅宝·相嗔盾刀 (暴云) , LH_shield_001, RH_pike_001,
巳宫双剑 (魂邈) , RH_Sword_015, RH_Sword_015,
枫木晚晴 , D011062, D011062, , D011062五毒_补天
意犹存 (填膺) , Lh_stick_040, RH_flagon_076,
破损不堪的装备 (洛神) , RH_brush_031, RH_brush_031,
申柳笔 (云梦) , RH_brush_010, RH_brush_010,
诉心 (今朝相伴) , D011001, D011001,
千里横黛 (蘸蓝) , RH_brush_138, RH_brush_138,
名满天下·狼尊血戟 (千里危国) , RH_spear_078, RH_spear_078,
瑶星青玉葱·星月万里 (步云歌) , D011047, D011047,
徐竹韵 (破苍萍) , RH_sword_167, RH_sword_167,
镇妖 (永昼) , RH_sword_022, RH_sword_022,
霜威海岱·擎云弩 (幽冥忘川) (幽冥忘川·一) , RH_bow_086b, RH_bow_086b,
持枢 (乱香残夜) , San_024, San_024,
兰亭香雪 , RH_brush_127, RH_brush_127, , W_万花95级橙武治疗01
宿云间 (休题) , RH_brush_012, RH_brush_012,
镖师剑 (情足) , RH_sword_016, RH_sword_016,
公输 , San_015, San_015, , P_蓬莱95级大橙武伞关
云陛八音 (香尘春溪) , RH_sword_243, RH_sword_243,
尚雄画戟 (不说不知) , RH_spear_035, RH_spear_035,
森山琴 (贯日金声) , LH_piano_067, RH_blade_001,
寻踪觅宝·风声碎 (突然多梦) , LH_piano_023, RH_blade_003,
巽风剑 (永昼) , RH_sword_022, RH_sword_022,
醉解敌颅·若耶双剑 (凭栏忆云) (凭栏忆云·一) , RH_sword_323, RH_sword_323,
虚无欢 (沧波瑟惧) , RH_bow_076, RH_bow_076,
天弦画柱·傲 , RH_spear_104c, RH_spear_104c,
独行 (放歌) (放歌·一) , D007305b, D007305b,
荻祀祭笔 (裂土封疆·一) (裂土封疆) , RH_brush_051, RH_brush_051,
一醉千年 (明珠香匣) , Lh_stick_003, RH_flagon_016,
风涛豪情·昭雅双剑 (千丈洪) (千丈洪·一) , RH_sword_148, RH_sword_148,
寂烟剑 (雪影凝辉) , RH_sword_271, RH_sword_271,
石庆联锋 (襄王) , RH_brush_034, RH_brush_034,
破损的硬木棍 (原澜) , RH_wand_004, RH_wand_004,
分光 (轩琅) , RH_sword_306, RH_sword_306,
饮血崩心 (洗烟霏) (洗烟霏·一) (洗烟霏·二) (洗烟霏·三) , RH_bow_036, RH_bow_036,
志若鸿鹄·君庭剑 (幻望仙歌) (幻望仙歌·一) , RH_sword_209, RH_sword_209,
驱龙 (开国戒持·二) (开国戒持·三) (开国戒持·五) , RH_wand_111, RH_wand_111,
开叉的硬笛子 (今朝相伴) , D011001, D011001,
飞昂 (危锋绝鄙) , RH_bow_040, RH_bow_040,
宿沙重剑·曜 , D007345, D007345,
宿沙双剑·曜 , RH_sword_251, RH_sword_252,
冠世风流·新雨双剑 (琅琊秀色) (琅琊秀色·一) , RH_sword_247, RH_sword_247,
劲松 (轻离别) , RH_brush_027, RH_brush_027,
朔紫 (为生声) , LH_piano_027, RH_blade_011,
涿鹿 (送春日) , RH_spear_088b, RH_spear_088b,
极光流影·逐月 , RH_bow_092d, RH_bow_092d,
激水翦风·蒙法棍 (破戒醉客) (破戒醉客·一) , RH_wand_118, RH_wand_118,
错金环刀 (定山河) , LH_BDdagger_002, RH_BDknife_002,
玄冥剑 (鲲篷) , RH_sword_305, RH_sword_305,
十二碧峰 (指上听) , LH_piano_003, RH_blade_003,
誉满天下·凌风重剑 (半轮丘平) , D007321, D007321,
昊穹·采苹剑 (西天吹裂) (西天吹裂·一) , RH_sword_200, RH_sword_200,
升龙 (鬓云斑) , RH_bow_004, RH_bow_004,
云梦 (乱香残夜) , San_024, San_024,
冥蝗金翼剑 (万顷春水) , D007302b, D007302b,
古尘 (歌狂) , RH_brush_023, RH_brush_023,
无定是非 (有穷无极) (有穷无极·一) (有穷无极·四) , RH_sword_196b, RH_sword_196b,
樱花醉·缕 , RH_sword_215d, RH_sword_215h,
至尊剔骨刀·星月万里 (冷落) , D007154, D007154,
边月弯刀 (容若雕空) , RH_knife_073, RH_knife_073,
紫电 (千魂乱) , RH_sword_014, RH_sword_014,
测试装备 , Lh_stick_025, RH_flagon_061,
煌极云来·寸辉双刀 (金青明王) (金青明王·一) , RH_knife_053, RH_knife_053,
拭剑江山·雁仞盾刀 (囚狻) , LH_shield_071, RH_pike_072,
游悦弩 (沧波瑟惧) , RH_bow_076, RH_bow_076,
花飞尽 (江亭倾怀) , RH_sword_331, RH_sword_331,
楚山澄云 (恒一) , RH_wand_144, RH_wand_144,
独南行 (旧事不念) , RH_spear_074, RH_spear_074,
疏愁 (突然多梦) , LH_piano_023, RH_blade_003,
清景深双剑 (念念观楼) , RH_sword_140, RH_sword_140,
小雷音柱 (照雄) , D010172, D010172,
宏甲千重 (池浅速谋) , LH_shield_055, RH_pike_056,
归舟笔 (捧心) , RH_brush_036, RH_brush_036,
双鹊 (斑斑化碧) , LH_BDdagger_004, RH_BDknife_004,
散雪 (云遮眉) , RH_bow_001, RH_bow_001,
角方盾刀 (妖督) , LH_shield_067, RH_pike_068,
谪仙笛 (寄君) , D011005b, D011005b,
青君 , D007193, D007193, , D007193青君
威破赤霄·长阳琴 (轩昂色) , LH_piano_014, RH_blade_014,
赤练蓝翼 , D007196, D007195, D007196赤炼, D007195蓝翼
玉雪 (书味满堂) , LH_piano_024, RH_blade_004,
洒松风 (横云难渡) , Lh_stick_047, RH_flagon_083,
九州纵横·暮风重剑 (穆行) (穆行·一) , D007389, D007389,
斩颚巨剑 (垂瀑) (垂瀑·二) , D007241, D007241,
绿渊迷 (僧渡) , D011003, D011003,
痴水 (万水千山) , RH_Sword_019, RH_Sword_019,
孤萤 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
烬松 (光阴) , D010160, D010160,
凤曦玉笛 (今朝相伴) , D011001, D011001,
王醉风云·安晏笛 (明心) (明心·一) , D011058b, D011058b,
侠行寒沙·金玉双剑 (冷露语) , RH_sword_288, RH_sword_288,
心禅 (千古浮变) , RH_wand_097, RH_wand_097,
关山凌旦 (千回梦) (千回梦·一) (千回梦·四) , LH_shield_030b, RH_pike_030b,
子信刀 (道名逝) , RH_knife_006, RH_knife_006,
妙法莲华·缘 , RH_wand_117, RH_wand_117,
巳雨剑 (情伤) , RH_sword_007, RH_sword_007,
赤铁刃 (复仇者) , RH_sword_003, RH_sword_003,
惟清剑 (道归) , RH_sword_299, RH_sword_299,
晚景 (昭唐) , RH_knife_083, RH_knife_083,
天地困人·东丘 (烈辰) , RH_spear_134, RH_spear_134,
九曲·驺虞盾刀 (孤屿) , LH_shield_006, RH_pike_006,
关山飞雪 (千回梦) (千回梦·一) (千回梦·四) , LH_shield_030b, RH_pike_030b,
洞玄九天·知 , RH_sword_214b, RH_sword_214b,
明月琴 (闻人泣) , LH_piano_026, RH_blade_006,
太康枪 (无视) , RH_spear_001, RH_spear_001,
扬晖轻剑 (雨师霜刃) , RH_sword_270, RH_sword_270,
绥茂剑 (叹息) , D007191, D007191,
游步 (开国戒持) (开国戒持·一) (开国戒持·四) , RH_wand_111b, RH_wand_111b,
功济万化 (今生苦) , RH_wand_122, RH_wand_122,
宿沙刀·绽 (十六故臣) , LH_BDdagger_025, RH_BDknife_025,
独悟空山 (不朽顽丑) (不朽顽丑·一) (不朽顽丑·二) , RH_wand_103, RH_wand_103,
月满楼 (待秋风) , LH_shield_005, RH_pike_005,
当歌醉 (绝塞银蛇) (绝塞银蛇·一) (绝塞银蛇·四) , RH_knife_046b, RH_knife_046b,
郁霜古剑 (大唐魂) , D007203, D007203,
酉前弩 (鬓云斑) , RH_bow_004, RH_bow_004,
鲸波荡世·寒月枪 (赤宇炎魂) (赤宇炎魂·一) , RH_spear_139, RH_spear_139,
孤嚎 (百川吞海) , RH_knife_001, RH_knife_001,
霜梨 (贪古调) , LH_piano_001, RH_blade_001,
尺素 (乱香残夜) , San_024, San_024,
纵横天下·连济之击 (鱼龙飞上) , Lh_stick_006, RH_flagon_031,
冰河·浮影双刀 (伤人欲) , RH_knife_017, RH_knife_017,
涵虚 (有穷无极) (有穷无极·一) (有穷无极·四) , RH_sword_196b, RH_sword_196b,
剑挽狂澜·崇幽 (冷露语) , RH_sword_288, RH_sword_288,
涟纹笛 (僧渡) , D011003, D011003,
迦虹双剑 (千金一诺) , RH_Sword_020, RH_Sword_020,
初见日月·双人语 (自在煞) , RH_sword_284, RH_sword_284,
蚀玉 , RH_sword_329c, RH_sword_329c, , C_藏剑小橙武_轻剑01加强HD
临川 (素娥冷) (素娥冷·一) , LH_shield_018, RH_pike_018,
烟凝暮紫 (喝问诸葛) , RH_sword_169b, RH_sword_169b,
紫玉歌 (一樽死生) (一樽死生·一) (一樽死生·二) , RH_brush_102, RH_brush_102,
寻踪觅宝·明眸短棍 (明珠香匣) , Lh_stick_003, RH_flagon_016,
君子 (归去来) , RH_Sword_061, RH_Sword_061,
狄来穿叶 (心之相) , RH_bow_039, RH_bow_039,
玉泉凝·凰音 , LH_piano_083c, RH_blade_071c,
苏芳 (碧千帆) , LH_shield_003, RH_pike_003,
破损的扫把 (扫地人) , D010067, D010067,
洞玄九天·妄 , RH_sword_214, RH_sword_214,
寻踪觅宝·作雪剑 (喝问诸葛) , RH_sword_169b, RH_sword_169b,
极光流影·逐月 , RH_bow_092c, RH_bow_092c,
花恋流年 , D011052b, D011052b,
落雁长缨 (旧璋) , D010029, D010029,
桃李清风·春景双剑 (白头人) , RH_sword_102, RH_sword_102,
水龙吟·惊龙 , RH_sword_320b, RH_sword_321b,
忧心如醉 (落魄无依) (落魄无依·一) (落魄无依·二) (落魄无依·三) , D011072, D011072,
奇恒 (有穷无极·二) (有穷无极·三) (有穷无极·五) , RH_sword_196, RH_sword_196,
飞明月 (三昧逝) , RH_knife_074, RH_knife_074,
阿里曼古盾刀 (隐谢公) , LH_shield_008, RH_pike_008,
周流星位 , RH_sword_249, RH_sword_249, , j_剑纯橙武95
定国巨剑 (木落) , D007227, D007227,
虚实悟理 (幽玄月魄) , RH_knife_094, RH_knife_094,
亢悟棍 (惊禅) , RH_wand_146, RH_wand_146,
鸟云泽兵 (夫交) , D010094, D010094,
甲灵轻剑 (粥相茅宅) , RH_sword_077, RH_sword_077,
朝露 (刺锋) , San_028, San_028,
月冷长河·焚恶双刀 (已相顾) , RH_knife_077, RH_knife_077,
星绝弩 (蚕鱼人烟) (蚕鱼人烟·一) (蚕鱼人烟·四) , RH_bow_049b, RH_bow_049b,
雪重折竹 (双人调琴) , LH_piano_043, RH_blade_018,
涓塞 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
无柯棍 (杀乱) (杀乱·一) , RH_wand_072b, RH_wand_072b,
知音觅兮·孤英 (夜归龙) , RH_bow_022, RH_bow_022,
沧海狂澜·傲风剑 (挑檀灰) , RH_sword_337, RH_sword_337,
昆山灵狐毫 (孤存) , RH_brush_015, RH_brush_015,
虎贲·药罗笔 (百舌) , RH_brush_096, RH_brush_096,
雨过松花 (一生任性) , LH_piano_022, RH_blade_003,
金戈·弘法 (踏湖歌) , RH_wand_082, RH_wand_082,
绮疏 (碧千帆) , LH_shield_003, RH_pike_003,
归暮 (莫愁风波) , RH_sword_119, RH_sword_119,
奇伟 (万顷春水) , D007302b, D007302b,
斩燕狂刃 (倾心) , D007189, D007189,
三河弩 (霜头寒菊·二) (霜头寒菊) (霜头寒菊·一) , RH_bow_041, RH_bow_041,
测试装备 (破寰) , LH_shield_076, RH_pike_076,
覆雨翻云·秋寂刀 (紫光耿) (紫光耿·一) , LH_BDdagger_017, RH_BDknife_017,
精金双剑·绛珠 (品流) , RH_sword_017, RH_sword_017,
炙锋枭战·闻灯重剑 (云海分楼) (云海分楼·一) , D007325, D007325,
梦花笔 (客无托) , RH_brush_098b, RH_brush_098b,
幽谷芜音 (天君) , D011021, D011021,
铭峭 (无争) , D010087, D010087,
无量刀 (洞箍) , RH_knife_037, RH_knife_037,
照星 (云燕成双) , San_002, San_002,
罗睺 (茅舍疏篱) , Lh_stick_006, RH_flagon_012,
红蕖 (斫良木) , LH_piano_004, RH_blade_004,
结倚 (八方涟漪) , LH_piano_030, RH_blade_016,
炊金双剑 (豪纵非半) (豪纵非半·一) , RH_sword_185b, RH_sword_185b,
藏千机·飒 , RH_bow_055d, RH_bow_055d,
酣醉弩 (鹊起烟岚) , RH_bow_094, RH_bow_094,
海晏河清·嘉仪琴 (夜阑晓) (夜阑晓·一) , LH_piano_071, RH_blade_001,
山楹双剑 (不禁流苏) , RH_sword_255, RH_sword_255,
减酒 (动群伦) , LH_piano_020, RH_blade_001,
酬心草 (山中云深) , RH_brush_121, RH_brush_121,
极意 (不断苔生) , RH_brush_101b, RH_brush_101b,
寂守 (开国戒持) (开国戒持·一) (开国戒持·四) , RH_wand_111b, RH_wand_111b,
荆云 (蚕鱼人烟·二) (蚕鱼人烟·三) (蚕鱼人烟·五) , RH_bow_049, RH_bow_049,
万劫太极重剑 (万顷春水) , D007302b, D007302b,
追魂杖 (碧翠青香) (碧翠青香·一) (碧翠青香·四) , Lh_stick_006, RH_flagon_040b,
荒城鬼境·残血刀 (燕将去) , LH_shield_069, RH_pike_070,
酉柳笔 (相见不见) , RH_brush_035, RH_brush_035,
妙相 (柳风澜) (柳风澜·一) (柳风澜·二) , RH_knife_021, RH_knife_021,
古朴的真武剑 (笑驱锋芒) , RH_sword_171b, RH_sword_171b,
怀怜 (霜悦无声) , D011113, D011113,
干霄 (禽破梦) , RH_bow_016, RH_bow_016,
金虚问道剑 (望荆) , RH_sword_029, RH_sword_029,
温炘弩 (寒鸦夜聚) (寒鸦夜聚·一) , RH_bow_054, RH_bow_054,
泽寒双剑 (幽篁) , RH_sword_301, RH_sword_301,
缺月圣炎 (绿寂调) , RH_knife_037b, RH_knife_037b,
王兵法天 (断虹) (断虹·一) (断虹·一) , RH_spear_076, RH_spear_076,
关山几重 (眉绝巅·二) (眉绝巅·三) (眉绝巅·五) , RH_spear_098, RH_spear_098,
月蚀·为爵笔 (等闲幽梦) , RH_brush_087, RH_brush_087,
龙猎 (隐飞·二) (隐飞) (隐飞·一) , RH_spear_077, RH_spear_077,
商依棍 (今生苦) , RH_wand_122, RH_wand_122,
宿沙伞·璨 (点花泪) , San_039, San_039,
侠行寒沙·惟幽轻剑 (辩歌) , RH_sword_287, RH_sword_287,
PVP测试装备 , Lh_stick_001, RH_flagon_010,
啼断来鸿 (落魄无依) (落魄无依·一) (落魄无依·二) (落魄无依·三) , D011072, D011072,
誉满天下·无癫棍 (寒川妖星) , RH_wand_113, RH_wand_113,
炎瘴 (蝉声未绝) , D011080, D011080,
兰庭双剑 (残云) (残云·一) (残云·二) , RH_Sword_083, RH_Sword_083,
荷咏暑风 , Lh_stick_044d, RH_flagon_080d,
翡翠玲珑筷·跋山涉水 (千里梦) , RH_brush_050, RH_brush_050,
青瑛棍 (不朽顽丑) (不朽顽丑·一) (不朽顽丑·二) , RH_wand_103, RH_wand_103,
曜望舒 (浮云遮月) (浮云遮月·一) , RH_sword_183, RH_sword_183,
新雪 (云燕成双) , San_002, San_002,
角沙双刀 (刺疆) , RH_knife_075, RH_knife_075,
漪澜双剑 (笑说有恨) , RH_sword_231, RH_sword_231,
伤狼双剑 (穷追) , RH_Sword_006, RH_Sword_006,
丙泉琴 (折花几步) , LH_piano_025, RH_blade_005,
横剑千岩·执金吾 (冥霜) (冥霜·一) , RH_spear_102, RH_spear_102,
寻踪觅宝·钟山玉 (书味满堂) , LH_piano_024, RH_blade_004,
北溟长鲸 (淇水殇) , RH_bow_096, RH_bow_096,
太康剑 (潘安) , RH_sword_003, RH_sword_003,
铁马·花间泪 (道吾不还) , LH_piano_021, RH_blade_002,
雾谷灯蝶 (浮光) , RH_brush_079, RH_brush_079,
寻踪觅宝·月星 (问棋语) , RH_brush_119, RH_brush_119,
骨汐笛 (天人若语) (天人若语·一) , D011074, D011074,
无逸 (不断苔生) , RH_brush_101b, RH_brush_101b,
金虚问道剑 (花心) , RH_sword_011, RH_sword_011,
清风断川 (汉时雪) (汉时雪·一) (汉时雪·二) , RH_knife_038, RH_knife_038,
和宁对剑 (千金苦思) , RH_sword_161, RH_sword_161,
鸿烈千机 (鬓云斑) , RH_bow_004, RH_bow_004,
狂意笔 (山中云深) , RH_brush_121, RH_brush_121,
桃李清风·染苔刀 (云燕成双) , San_002, San_002,
清樽 (颤缺) , Lh_stick_031, RH_flagon_067,
甲蝎笛 (浩渺) , D011051b, D011051b,
望北枪 (肃山河) , RH_spear_145, RH_spear_145,
忏摩杖 (因缚) , D010162, D010162,
穷暮 (斑斑化碧) , LH_BDdagger_004, RH_BDknife_004,
丰武 (危锋绝鄙) , RH_bow_040, RH_bow_040,
逐鹿天下·夺魄匣 (鬓云斑) , RH_bow_004, RH_bow_004,
松间棒 (擦肩影) , Lh_stick_006, RH_flagon_038,
贯甲紫金枪 (不落) , D010143, D010143,
寒夜燎星 , LH_shield_020, RH_pike_020, C_苍云70级橙武盾, C_苍云70级橙武刀
环宇双刀 (绿寂调) , RH_knife_037b, RH_knife_037b,
讷灵 (功成) , D011060b, D011060b,
夜鬼哭 (梅影孤舟) , RH_bow_093, RH_bow_093,
昊穹·驳兮轻剑 (不过瞬间) (不过瞬间·一) , RH_sword_198, RH_sword_198,
烟花双剑 (解荒风) , RH_sword_170, RH_sword_170,
守善 (惊禅) , RH_wand_146, RH_wand_146,
梦云 (有穷无极) (有穷无极·一) (有穷无极·四) , RH_sword_196b, RH_sword_196b,
羽客双剑 (念念观楼) , RH_sword_140, RH_sword_140,
寻踪觅宝·谨胜 (独领残兵) , LH_shield_037, RH_pike_050,
风尘枪 (乱奇) , D010015, D010015,
青碧 (贫士弹) , RH_knife_044, RH_knife_044,
森罗士 (与谁同) , LH_shield_007, RH_pike_007,
鹤鸣千山·皓羽 , RH_sword_322c, RH_sword_322c, , C_纯阳橙武_c01_HD
凤翅镏金镗 (权慑) , D010051, D010051,
甲蟾笛 (浩渺) , D011051b, D011051b,
异轸翼 (心铁牙牢·二) (心铁牙牢) (心铁牙牢·一) , RH_sword_178, RH_sword_178,
紫萝怨·意 , RH_brush_116b, RH_brush_116b,
傲视天下·承煌双剑 (富民侯) , RH_sword_188, RH_sword_188,
盘花棍 (金宵) , RH_wand_012, RH_wand_012,
玄法·黜陟笛 (苦颜) , D011025, D011025,
煌萤双刃 (山色缚水) (山色缚水·一) , RH_Sword_072, RH_Sword_072,
飞岫剑 (断源心体) , RH_sword_274, RH_sword_274,
长琴 (道吾不还) , LH_piano_021, RH_blade_002,
江露未晞 (桓歌) , D011105, D011105,
翊圣天剑 (古龙) , D007170, D007170,
少阴 (黯然无绪) , D007031, D007031,
红山凄雨 (有穷无极) (有穷无极·一) (有穷无极·四) , RH_sword_196b, RH_sword_196b,
桃木棍 (棕典) , RH_wand_003, RH_wand_003,
覆雨翻云·素波棍 (诸佛摩诃) (诸佛摩诃·一) , RH_wand_132, RH_wand_132,
威震诸侯·堂君剑 (太真同痴) (太真同痴·一) , RH_sword_213, RH_sword_213,
红镰铜盾刃 (与谁同) , LH_shield_007, RH_pike_007,
桃灼对剑 (魂邈) , RH_Sword_015, RH_Sword_015,
幽蟒笛 (解危) (解危·一) , D011013d, D011013d,
剑胆琴心·灵祭笛 (天沉) (天沉·一) , D011053, D011053,
未命名的装备 (尘缘) , RH_Sword_012, RH_Sword_012,
和愿弩 (浆纱笼烛) , RH_bow_037, RH_bow_037,
寒沼夜箫 (蘸蓝) , RH_brush_138, RH_brush_138,
侠少重剑 (踏遍) , D007166, D007166,
恐刃 (云液杯干) , RH_knife_012, RH_knife_012,
暮成雪 (羹鲈江上) (羹鲈江上·一) , RH_sword_164b, RH_sword_164b,
绿绮忆 , LH_piano_055, RH_blade_055, C_长歌80级小橙武琴_01, C_长歌80级小橙武剑_01
栖霜浸雪 , LH_shield_020b, RH_pike_020b, C_苍云70级橙武盾偏色, C_苍云70级橙武刀偏色
广庭 (刺锋) , San_028, San_028,
知音觅兮·稽祈 (冷桥) , D007283, D007283,
炙锋枭战·绕池琴 (千鹤响) , LH_piano_017, RH_blade_017,
写入琴丝 (红颜吹度) (红颜吹度·一) (红颜吹度·四) , RH_brush_110b, RH_brush_110b,
剑破九州·素欲软剑 (幻望仙歌) (幻望仙歌·一) , RH_sword_209, RH_sword_209,
攻无不克·姑余双剑 (遗音) , RH_Sword_084b, RH_Sword_084b,
南浦琴 (欢喜调) , LH_piano_047, RH_blade_015,
翠渚笛 (百尺·二) (百尺) (百尺·一) , D011061, D011061,
壮志凌云·承明琴 (千鹤响) , LH_piano_017, RH_blade_017,
秋无苦雨 (静轮) (静轮·一) (静轮·二) (静轮·三) , D011056, D011056,
 (绿寂调) , RH_knife_037b, RH_knife_037b,
白露光阴 (沉水藏锋) , RH_knife_086, RH_knife_086,
雾卷晴漪 (芳草姑苏) , RH_bow_009, RH_bow_009,
寻踪觅宝·地气 (问棋语) , RH_brush_119, RH_brush_119,
龙武 (时光) , RH_spear_011, RH_spear_011,
碎明苍 (眉绝巅·二) (眉绝巅·三) (眉绝巅·五) , RH_spear_098, RH_spear_098,
丹阳紫羽 (不知吾身) , RH_brush_101, RH_brush_101,
逍遥天下·鸿寄剑 (南山老) , RH_sword_160b, RH_sword_160b,
申象琴 (书味满堂) , LH_piano_024, RH_blade_004,
癸秋弩 (不知应刺) , RH_bow_075, RH_bow_075,
丙鸿古笔 (剑侠情缘) , RH_brush_057, RH_brush_057,
祭文玉笛 (功业) , D011001d, D011001d,
大厨蒸鱼屉·刀功 (携鱼归) , LH_shield_046, RH_pike_046,
醉笑万里 (载地) , LH_shield_002, RH_pike_002,
忘川 (筝不归) , LH_shield_015, RH_pike_015,
景颇 (百川吞海) , RH_knife_001, RH_knife_001,
秋原 (世系国恨) , LH_BDdagger_003, RH_BDknife_003,
裂石百寻 (芳草姑苏) , RH_bow_009, RH_bow_009,
赤魂炎狼·战锋 , RH_spear_141c, RH_spear_141c, , T_天策小橙武01
澹兮剑 (苍生神鬼) (苍生神鬼·一) , RH_Sword_093, RH_Sword_093,
惟清·葛覃笛 (月舞) (月舞·一) , D011070, D011070,
照血 (扶头念) , RH_knife_004, RH_knife_004,
寻踪觅宝·看山 (书味满堂) , LH_piano_024, RH_blade_004,
夏言 (云遮眉) , RH_bow_001, RH_bow_001,
